learning_rate,omega,phi_p,phi_g,x,y,best_value,epoch

0.3,0.4,1.0,1.0,8.81479671e-163,-4.68328502e-163,1.0,5411

0.3,0.4,1.0,1.2222222222222223,-6.60981854e-164,-4.27883186e-163,1.0,5436

0.3,0.4,1.0,1.4444444444444444,-6.81894318e-163,5.62010667e-163,1.0,5473

0.3,0.4,1.0,1.6666666666666665,-1.45779269e-162,-4.37631841e-163,1.0,5431

0.3,0.4,1.0,1.8888888888888888,-1.12684351e-162,-2.75278941e-163,1.0,5415

0.3,0.4,1.0,2.111111111111111,2.64422672e-163,-6.81768618e-163,1.0,5428

0.3,0.4,1.0,2.333333333333333,5.60987215e-163,-6.39271355e-163,1.0,5410

0.3,0.4,1.0,2.5555555555555554,7.11297228e-164,1.18493825e-162,1.0,5412

0.3,0.4,1.0,2.7777777777777777,-2.94402702e-164,6.95500414e-163,1.0,5413

0.3,0.4,1.0,3.0,-2.65511594e-163,-1.07853432e-162,1.0,5410

0.3,0.4,1.2222222222222223,1.0,1.80133197e-163,-1.18465572e-162,1.0,5420

0.3,0.4,1.2222222222222223,1.2222222222222223,1.34822653e-162,-1.03373390e-162,1.0,5442

0.3,0.4,1.2222222222222223,1.4444444444444444,-6.45368907e-163,-9.15705886e-163,1.0,5425

0.3,0.4,1.2222222222222223,1.6666666666666665,4.73103013e-164,9.30322634e-163,1.0,5413

0.3,0.4,1.2222222222222223,1.8888888888888888,-1.21034979e-162,-8.84095608e-163,1.0,5427

0.3,0.4,1.2222222222222223,2.111111111111111,-1.43503403e-162,6.65129529e-164,1.0,5413

0.3,0.4,1.2222222222222223,2.333333333333333,-1.35689279e-163,1.17512698e-162,1.0,5416

0.3,0.4,1.2222222222222223,2.5555555555555554,-8.87490988e-163,-3.25475263e-163,1.0,5409

0.3,0.4,1.2222222222222223,2.7777777777777777,-1.21637112e-162,-5.39407707e-163,1.0,5415

0.3,0.4,1.2222222222222223,3.0,6.32939234e-163,-9.33706436e-163,1.0,5414

0.3,0.4,1.4444444444444444,1.0,1.10011619e-162,-8.91533896e-163,1.0,5429

0.3,0.4,1.4444444444444444,1.2222222222222223,-1.87121768e-163,-3.09528260e-163,1.0,5454

0.3,0.4,1.4444444444444444,1.4444444444444444,1.49476269e-162,-1.12656209e-163,1.0,5473

0.3,0.4,1.4444444444444444,1.6666666666666665,1.09056465e-164,-1.28740369e-162,1.0,5416

0.3,0.4,1.4444444444444444,1.8888888888888888,7.48215187e-163,6.29186535e-163,1.0,5415

0.3,0.4,1.4444444444444444,2.111111111111111,5.71271787e-163,-1.24002990e-162,1.0,5417

0.3,0.4,1.4444444444444444,2.333333333333333,-1.13043869e-162,6.11987914e-163,1.0,5411

0.3,0.4,1.4444444444444444,2.5555555555555554,8.80936645e-163,-7.76340976e-164,1.0,5410

0.3,0.4,1.4444444444444444,2.7777777777777777,6.90964500e-163,-1.81722962e-163,1.0,5421

0.3,0.4,1.4444444444444444,3.0,1.29542263e-162,2.96502573e-163,1.0,5413

0.3,0.4,1.6666666666666665,1.0,-9.09161205e-163,6.71075540e-163,1.0,5430

0.3,0.4,1.6666666666666665,1.2222222222222223,1.10884528e-162,1.47799966e-162,1.0,5448

0.3,0.4,1.6666666666666665,1.4444444444444444,-1.60931640e-163,1.56657849e-162,1.0,5414

