learning_rate,omega,phi_p,phi_g,x,y,best_value,epoch

0.3,0.4,1.0,1.0,4.94281386e-05,1.00005110e+00,101.01012094208325,9493

0.3,0.4,1.0,1.2222222222222223,-2.58392548e-05,1.00001611e+00,101.00327417842296,9366

0.3,0.4,1.0,1.4444444444444444,5.96473389e-07,9.99991636e-01,100.99832609090988,7015

0.3,0.4,1.0,1.6666666666666665,8.02016826e-06,9.99989286e-01,100.99784123492054,14465

0.3,0.4,1.0,1.8888888888888888,8.74856983e-06,1.00000614e+00,101.00121045514466,12462

0.3,0.4,1.0,2.111111111111111,1.24873717e-05,1.00000370e+00,101.00071523810266,6028

0.3,0.4,1.0,2.333333333333333,2.68526652e-05,1.00000948e+00,101.00184280213358,6190

0.3,0.4,1.0,2.5555555555555554,2.38587715e-05,9.99959772e-01,100.99190664128524,6830

0.3,0.4,1.0,2.7777777777777777,-2.69388484e-04,9.99932509e-01,100.98702663659066,5453

0.3,0.4,1.0,3.0,-1.13963198e-04,1.00002355e+00,101.00493604745313,11889

0.3,0.4,1.2222222222222223,1.0,-8.97652849e-06,1.00001072e+00,101.00216197499685,12181

0.3,0.4,1.2222222222222223,1.2222222222222223,1.20703087e-05,1.00001805e+00,101.003585959439,6277

0.3,0.4,1.2222222222222223,1.4444444444444444,-7.51397099e-06,9.99994733e-01,100.9989615803053,13652

0.3,0.4,1.2222222222222223,1.6666666666666665,-2.01467340e-07,1.00000226e+00,101.00045186209744,9530

0.3,0.4,1.2222222222222223,1.8888888888888888,9.14244765e-06,9.99996622e-01,100.9993061558294,9544

0.3,0.4,1.2222222222222223,2.111111111111111,-8.46430498e-06,1.00005481e+00,101.01097988162125,12752

0.3,0.4,1.2222222222222223,2.333333333333333,-4.33984307e-05,9.99992739e-01,100.9986341311397,8009

0.3,0.4,1.2222222222222223,2.5555555555555554,-2.68670885e-05,1.00002062e+00,101.00417718712018,16538

0.3,0.4,1.2222222222222223,2.7777777777777777,-1.61968341e-04,1.00002663e+00,101.0056442348434,5747

0.3,0.4,1.2222222222222223,3.0,6.87609127e-04,9.99151055e-01,100.82881392017288,8885

0.3,0.4,1.4444444444444444,1.0,-6.73528665e-06,9.99992182e-01,100.99844987288155,13120

0.3,0.4,1.4444444444444444,1.2222222222222223,-2.84676388e-05,9.99987567e-01,100.99757015880708,5451

0.3,0.4,1.4444444444444444,1.4444444444444444,1.15232382e-05,1.00000144e+00,101.00026531114399,19566

0.3,0.4,1.4444444444444444,1.6666666666666665,1.90640574e-05,9.99976363e-01,100.99523447657829,12571

0.3,0.4,1.4444444444444444,1.8888888888888888,1.17892463e-05,9.99991783e-01,100.99833303627831,11004

0.3,0.4,1.4444444444444444,2.111111111111111,1.84624980e-06,1.00000255e+00,101.0005071604193,10033

0.3,0.4,1.4444444444444444,2.333333333333333,-3.05080312e-05,1.00001341e+00,101.00274237713643,7234

0.3,0.4,1.4444444444444444,2.5555555555555554,4.47695433e-04,9.99914987e-01,100.98206282816652,10182

